第15任總統副總統選舉候選人在新北市各村(里)得票數一覽表,,,,,,,,,,,,
行政區別,村里別,各組候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數
D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","投票率H
H=C÷G"
,,"(1)
宋楚瑜
余湘","(2)
韓國瑜
張善政","(3)
蔡英文
賴清德",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,幸福里,128,856,"1,526","2,510",31,"2,541",1,"2,542",829,"3,371",75.3782
,文德里,100,722,"1,217","2,039",17,"2,056",0,"2,056",611,"2,667",77.0904
,忠誠里,112,"1,673","1,033","2,818",26,"2,844",0,"2,844",675,"3,519",80.8184
,陽明里,77,607,"1,176","1,860",16,"1,876",0,"1,876",520,"2,396",78.2972
,百壽里,80,669,"1,034","1,783",19,"1,802",0,"1,802",479,"2,281",79.0004
,介壽里,74,723,"1,170","1,967",25,"1,992",0,"1,992",598,"2,590",76.9112
,新埔里,64,512,880,"1,456",14,"1,470",0,"1,470",394,"1,864",78.8627
,華江里,225,"1,796","2,660","4,681",65,"4,746",0,"4,746","1,334","6,080",78.0592
,江翠里,136,"1,046","2,089","3,271",31,"3,302",0,"3,302","1,011","4,313",76.5592
,純翠里,133,"1,092","2,307","3,532",45,"3,577",0,"3,577","1,092","4,669",76.6117
,溪頭里,171,"1,227","2,430","3,828",48,"3,876",0,"3,876","1,173","5,049",76.7677
,聯翠里,113,871,"1,382","2,366",24,"2,390",0,"2,390",812,"3,202",74.6408
,文化里,113,742,"1,380","2,235",20,"2,255",0,"2,255",661,"2,916",77.3320
,宏翠里,181,"1,180","1,957","3,318",37,"3,355",0,"3,355","1,033","4,388",76.4585
,仁翠里,83,549,"1,277","1,909",26,"1,935",0,"1,935",555,"2,490",77.7108
,新翠里,257,"1,774","3,212","5,243",61,"5,304",5,"5,309","1,476","6,785",78.1724
,朝陽里,96,633,"1,486","2,215",27,"2,242",0,"2,242",715,"2,957",75.8201
,吉翠里,113,747,"1,642","2,502",26,"2,528",0,"2,528",700,"3,228",78.3147
,德翠里,223,"1,700","2,798","4,721",48,"4,769",0,"4,769","1,298","6,067",78.6056
,新海里,84,730,"1,525","2,339",27,"2,366",0,"2,366",706,"3,072",77.0182
,滿翠里,82,565,"1,317","1,964",26,"1,990",0,"1,990",605,"2,595",76.6859
,明翠里,119,"1,023","1,982","3,124",26,"3,150",0,"3,150",981,"4,131",76.2527
,松翠里,99,746,"1,356","2,201",25,"2,226",0,"2,226",693,"2,919",76.2590
,柏翠里,143,962,"1,751","2,856",32,"2,888",0,"2,888",911,"3,799",76.0200
,龍翠里,153,"1,061","2,129","3,343",44,"3,387",0,"3,387",976,"4,363",77.6301
,松柏里,75,458,967,"1,500",28,"1,528",0,"1,528",428,"1,956",78.1186
,華翠里,108,730,"1,505","2,343",30,"2,373",0,"2,373",638,"3,011",78.8110
,莒光里,85,585,"1,211","1,881",21,"1,902",0,"1,902",559,"2,461",77.2857
,忠翠里,320,"2,516","3,983","6,819",78,"6,897",0,"6,897","1,840","8,737",78.9401
,嵐翠里,70,498,"1,050","1,618",16,"1,634",0,"1,634",513,"2,147",76.1062
,文聖里,109,819,"1,634","2,562",33,"2,595",0,"2,595",771,"3,366",77.0945
,文翠里,137,916,"1,665","2,718",31,"2,749",0,"2,749",781,"3,530",77.8754
,青翠里,80,605,"1,246","1,931",21,"1,952",0,"1,952",672,"2,624",74.3902
,懷翠里,166,"1,201","2,515","3,882",51,"3,933",0,"3,933","1,314","5,247",74.9571
,福翠里,40,325,486,851,16,867,0,867,292,"1,159",74.8059
,港嘴里,166,"1,368","2,486","4,020",41,"4,061",1,"4,062","1,204","5,266",77.1174
,埤墘里,142,967,"1,748","2,857",38,"2,895",0,"2,895",819,"3,714",77.9483
,莊敬里,133,940,"1,578","2,651",32,"2,683",0,"2,683",690,"3,373",79.5434
,永安里,99,712,"1,421","2,232",26,"2,258",0,"2,258",663,"2,921",77.3023
,振興里,122,995,"1,898","3,015",30,"3,045",0,"3,045",831,"3,876",78.5604
,振義里,112,866,"1,797","2,775",33,"2,808",0,"2,808",855,"3,663",76.6585
,光復里,89,720,"1,383","2,192",23,"2,215",1,"2,216",677,"2,893",76.5641
,埔墘里,176,"1,488","2,562","4,226",48,"4,274",0,"4,274","1,208","5,482",77.9642
,富貴里,74,572,916,"1,562",21,"1,583",0,"1,583",400,"1,983",79.8285
,長壽里,92,668,"1,216","1,976",11,"1,987",0,"1,987",541,"2,528",78.5997
,福壽里,122,870,"1,236","2,228",22,"2,250",0,"2,250",653,"2,903",77.5060
,居仁里,109,781,"1,543","2,433",16,"2,449",0,"2,449",679,"3,128",78.2928
,海山里,242,"1,762","2,880","4,884",69,"4,953",1,"4,954","1,357","6,311",78.4820
,九如里,87,577,"1,198","1,862",29,"1,891",0,"1,891",541,"2,432",77.7549
,正泰里,86,714,"1,224","2,024",35,"2,059",0,"2,059",543,"2,602",79.1314
,玉光里,141,"1,117","2,032","3,290",37,"3,327",0,"3,327","1,151","4,478",74.2966
,光仁里,100,626,"1,190","1,916",25,"1,941",0,"1,941",499,"2,440",79.5492
,雙玉里,108,909,"1,567","2,584",30,"2,614",0,"2,614",792,"3,406",76.7469
,廣新里,83,760,"1,363","2,206",27,"2,233",0,"2,233",780,"3,013",74.1122
,深丘里,227,"2,150","2,891","5,268",72,"5,340",0,"5,340","1,653","6,993",76.3621
,香丘里,104,834,"1,440","2,378",26,"2,404",0,"2,404",717,"3,121",77.0266
,西安里,79,639,"1,062","1,780",23,"1,803",0,"1,803",531,"2,334",77.2494
,東丘里,119,982,"1,884","2,985",29,"3,014",0,"3,014",843,"3,857",78.1436
,民生里,57,509,921,"1,487",13,"1,500",0,"1,500",412,"1,912",78.4519
,長安里,149,990,"1,767","2,906",38,"2,944",0,"2,944",762,"3,706",79.4387
,東安里,58,496,960,"1,514",16,"1,530",0,"1,530",457,"1,987",77.0005
,福丘里,155,"1,342","1,612","3,109",41,"3,150",0,"3,150",930,"4,080",77.2059
,福祿里,105,"1,053","1,287","2,445",26,"2,471",0,"2,471",807,"3,278",75.3813
,民族里,152,"1,059","1,668","2,879",26,"2,905",0,"2,905",769,"3,674",79.0691
,國泰里,85,932,"1,264","2,281",31,"2,312",0,"2,312",723,"3,035",76.1779
,後埔里,111,"1,008","1,338","2,457",47,"2,504",0,"2,504",702,"3,206",78.1036
,福德里,145,"1,239","1,929","3,313",41,"3,354",0,"3,354",990,"4,344",77.2099
,景星里,94,857,"1,260","2,211",38,"2,249",0,"2,249",762,"3,011",74.6928
,福星里,100,872,"1,395","2,367",27,"2,394",0,"2,394",629,"3,023",79.1929
,鄉雲里,137,949,"1,432","2,518",39,"2,557",0,"2,557",750,"3,307",77.3208
,廣德里,208,"1,717","2,468","4,393",67,"4,460",0,"4,460","1,319","5,779",77.1760
,大豐里,144,"1,213","1,702","3,059",34,"3,093",0,"3,093",925,"4,018",76.9786
,重慶里,266,"2,049","3,122","5,437",60,"5,497",0,"5,497","1,797","7,294",75.3633
,仁愛里,122,"1,022",970,"2,114",36,"2,150",0,"2,150",570,"2,720",79.0441
,和平里,142,987,"1,290","2,419",19,"2,438",1,"2,439",684,"3,123",78.0660
,廣福里,120,921,"1,520","2,561",21,"2,582",0,"2,582",855,"3,437",75.1237
,五權里,121,964,"1,576","2,661",20,"2,681",0,"2,681",813,"3,494",76.7315
,華興里,147,"1,055","1,584","2,786",39,"2,825",0,"2,825",849,"3,674",76.8917
,華貴里,87,617,987,"1,691",24,"1,715",0,"1,715",521,"2,236",76.6995
,華福里,66,546,783,"1,395",26,"1,421",0,"1,421",383,"1,804",78.7694
,華德里,186,"1,725","2,596","4,507",56,"4,563",0,"4,563","1,560","6,123",74.5223
,華東里,254,"2,215","2,707","5,176",56,"5,232",0,"5,232","1,437","6,669",78.4525
,信義里,127,"1,019","1,581","2,727",30,"2,757",0,"2,757",938,"3,695",74.6143
,浮洲里,113,804,"1,608","2,525",17,"2,542",0,"2,542",812,"3,354",75.7901
,華中里,139,"1,013","2,258","3,410",36,"3,446",0,"3,446","1,130","4,576",75.3059
,僑中里,128,864,"1,805","2,797",33,"2,830",0,"2,830",837,"3,667",77.1748
,大觀里,101,708,"1,586","2,395",20,"2,415",0,"2,415",755,"3,170",76.1830
,歡園里,43,235,550,828,5,833,0,833,251,"1,084",76.8450
,中山里,226,"1,697","2,343","4,266",46,"4,312",0,"4,312","1,443","5,755",74.9262
,復興里,31,313,326,670,12,682,0,682,230,912,74.7807
,大安里,122,931,"1,573","2,626",25,"2,651",0,"2,651",788,"3,439",77.0864
,福安里,240,"1,856","2,390","4,486",61,"4,547",0,"4,547","1,365","5,912",76.9114
,聚安里,146,"1,115","2,158","3,419",34,"3,453",0,"3,453","1,137","4,590",75.2288
,龍安里,92,622,"1,129","1,843",20,"1,863",0,"1,863",567,"2,430",76.6667
,崑崙里,272,"2,170","3,700","6,142",72,"6,214",0,"6,214","2,039","8,253",75.2938
,成和里,228,"1,422","2,488","4,138",43,"4,181",0,"4,181","1,522","5,703",73.3123
,溪洲里,164,"1,247","2,278","3,689",60,"3,749",0,"3,749","1,293","5,042",74.3554
,溪福里,405,"3,074","5,148","8,627",99,"8,726",0,"8,726","3,005","11,731",74.3841
,溪北里,108,825,"1,374","2,307",16,"2,323",0,"2,323",704,"3,027",76.7426
,堂春里,129,917,"1,686","2,732",24,"2,756",0,"2,756",901,"3,657",75.3623
　三重區,,"11,087","78,055","154,104","243,246","2,762","246,008",2,"246,010","77,100","323,110",76.1375
,富貴里,192,"1,526","2,511","4,229",35,"4,264",0,"4,264","1,311","5,575",76.4843
,碧華里,248,"1,859","3,074","5,181",58,"5,239",0,"5,239","1,584","6,823",76.7844
,仁華里,140,888,"1,772","2,800",41,"2,841",0,"2,841",835,"3,676",77.2851
,永清里,159,945,"2,418","3,522",37,"3,559",0,"3,559","1,021","4,580",77.7074
,永順里,160,874,"2,190","3,224",31,"3,255",0,"3,255","1,112","4,367",74.5363
,富福里,62,386,829,"1,277",14,"1,291",0,"1,291",484,"1,775",72.7324
,慈化里,74,501,"1,067","1,642",26,"1,668",0,"1,668",487,"2,155",77.4014
,慈惠里,71,377,"1,063","1,511",14,"1,525",0,"1,525",454,"1,979",77.0591
,慈愛里,89,665,"1,537","2,291",31,"2,322",0,"2,322",739,"3,061",75.8576
,永福里,139,963,"2,337","3,439",41,"3,480",0,"3,480","1,046","4,526",76.8891
,慈生里,81,504,"1,013","1,598",15,"1,613",0,"1,613",425,"2,038",79.1462
,慈福里,79,424,972,"1,475",16,"1,491",0,"1,491",495,"1,986",75.0755
